,n_estimaters,depth,accuracy,f1,dimensions
0,150,10,0.31,0.1863300850493412,150
0,200,10,0.31,0.1863300850493412,150
0,250,10,0.31,0.1863300850493412,150
0,100,12,0.31,0.18703287459445458,150
0,150,12,0.31,0.1863300850493412,150
0,200,12,0.31,0.1863300850493412,150
0,250,12,0.29533333333333334,0.1566765813174699,150
0,100,14,0.31,0.18703287459445458,150
0,150,14,0.31,0.1863300850493412,150
0,200,14,0.31,0.1863300850493412,150
0,250,14,0.29533333333333334,0.1566765813174699,150
0,100,16,0.31,0.18703287459445458,150
0,150,16,0.31,0.1863300850493412,150
0,200,16,0.31,0.1863300850493412,150
0,250,16,0.29533333333333334,0.1566765813174699,150
0,100,18,0.31,0.18703287459445458,150
0,150,18,0.31,0.1863300850493412,150
0,200,18,0.31,0.1863300850493412,150
0,250,18,0.29533333333333334,0.1566765813174699,150
0,100,20,0.31,0.18703287459445458,150
0,150,20,0.31,0.1863300850493412,150
0,200,20,0.31,0.1863300850493412,150
0,250,20,0.29533333333333334,0.1566765813174699,150
0,100,22,0.31,0.18703287459445458,150
0,150,22,0.31,0.1863300850493412,150
0,200,22,0.31,0.1863300850493412,150
0,250,22,0.29533333333333334,0.1566765813174699,150
0,100,24,0.31,0.18703287459445458,150
0,150,24,0.31,0.1863300850493412,150
0,200,24,0.31,0.1863300850493412,150
0,250,24,0.29533333333333334,0.1566765813174699,150
0,100,26,0.31,0.18703287459445458,150
0,150,26,0.31,0.1863300850493412,150
0,200,26,0.31,0.1863300850493412,150
0,250,26,0.29533333333333334,0.1566765813174699,150
0,100,28,0.31,0.18703287459445458,150
0,150,28,0.31,0.1863300850493412,150
0,200,28,0.31,0.1863300850493412,150
0,250,28,0.29533333333333334,0.1566765813174699,150
0,100,2,0.424,0.38262627505241303,200
0,150,2,0.446,0.41910752949716684,200
0,200,2,0.456,0.42802138866719874,200
0,250,2,0.4846666666666667,0.45333598885600995,200
0,100,4,0.31466666666666665,0.19466776402517438,200
0,150,4,0.316,0.21452945954714703,200
0,200,4,0.3293333333333333,0.22143287795136266,200
0,250,4,0.3293333333333333,0.22143287795136266,200
0,100,6,0.31,0.1863300850493412,200
0,150,6,0.31,0.1863300850493412,200
0,200,6,0.29533333333333334,0.1566765813174699,200
0,250,6,0.31,0.1863300850493412,200
0,100,8,0.29533333333333334,0.1566765813174699,200
0,150,8,0.29533333333333334,0.1566765813174699,200
0,200,8,0.29533333333333334,0.1566765813174699,200
0,250,8,0.29533333333333334,0.1566765813174699,200
0,100,10,0.29533333333333334,0.1566765813174699,200
0,150,10,0.29533333333333334,0.1566765813174699,200
0,200,10,0.29533333333333334,0.1566765813174699,200
0,250,10,0.29533333333333334,0.1566765813174699,200
0,100,12,0.29533333333333334,0.1566765813174699,200
0,150,12,0.29533333333333334,0.1566765813174699,200
0,200,12,0.29533333333333334,0.1566765813174699,200
0,250,12,0.29533333333333334,0.1566765813174699,200
0,100,14,0.29533333333333334,0.1566765813174699,200
0,150,14,0.29533333333333334,0.1566765813174699,200
0,200,14,0.29533333333333334,0.1566765813174699,200
0,250,14,0.29533333333333334,0.1566765813174699,200
0,100,16,0.29533333333333334,0.1566765813174699,200
0,150,16,0.29533333333333334,0.1566765813174699,200
0,200,16,0.29533333333333334,0.1566765813174699,200
0,250,16,0.29533333333333334,0.1566765813174699,200
0,100,18,0.29533333333333334,0.1566765813174699,200
0,150,18,0.29533333333333334,0.1566765813174699,200
0,200,18,0.29533333333333334,0.1566765813174699,200
0,250,18,0.29533333333333334,0.1566765813174699,200
0,100,20,0.29533333333333334,0.1566765813174699,200
0,150,20,0.29533333333333334,0.1566765813174699,200
0,200,20,0.29533333333333334,0.1566765813174699,200
0,250,20,0.29533333333333334,0.1566765813174699,200
0,100,22,0.29533333333333334,0.1566765813174699,200
0,150,22,0.29533333333333334,0.1566765813174699,200
0,200,22,0.29533333333333334,0.1566765813174699,200
0,250,22,0.29533333333333334,0.1566765813174699,200
0,100,24,0.29533333333333334,0.1566765813174699,200
0,150,24,0.29533333333333334,0.1566765813174699,200
0,200,24,0.29533333333333334,0.1566765813174699,200
0,250,24,0.29533333333333334,0.1566765813174699,200
0,100,26,0.29533333333333334,0.1566765813174699,200
0,150,26,0.29533333333333334,0.1566765813174699,200
0,200,26,0.29533333333333334,0.1566765813174699,200
0,250,26,0.29533333333333334,0.1566765813174699,200
0,100,28,0.29533333333333334,0.1566765813174699,200
0,150,28,0.29533333333333334,0.1566765813174699,200
0,200,28,0.29533333333333334,0.1566765813174699,200
0,250,28,0.29533333333333334,0.1566765813174699,200
0,100,2,0.36733333333333335,0.3063051752888377,250
0,150,2,0.372,0.3078193204339841,250
0,200,2,0.372,0.3078193204339841,250
