,number_of_topics,n_neigh,accuracy,f1
0,16,8,0.996,0.995991877019896
0,16,9,0.996,0.995991877019896
0,16,10,0.9926666666666667,0.9926722887456282
0,16,11,0.992,0.9920067855789392
0,16,12,0.992,0.9920067855789392
0,16,13,0.992,0.9920067855789392
0,16,14,0.992,0.9920067855789392
0,16,15,0.9873333333333333,0.9873394110636967
0,17,3,0.9973333333333333,0.9973333603810194
0,17,4,0.9973333333333333,0.9973333603810194
0,17,5,0.9973333333333333,0.9973333603810194
0,17,6,0.9973333333333333,0.9973333603810194
0,17,7,0.9953333333333333,0.9953300662916267
0,17,8,0.9953333333333333,0.9953300662916267
0,17,9,0.9933333333333333,0.9933250155045289
0,17,10,0.9933333333333333,0.9933250155045289
0,17,11,0.9913333333333333,0.9913331644472232
0,17,12,0.9913333333333333,0.9913331644472232
0,17,13,0.9913333333333333,0.9913331644472232
0,17,14,0.9866666666666667,0.9866607147086646
0,17,15,0.9866666666666667,0.9866607147086646
0,17,16,0.9866666666666667,0.9866607147086646
0,18,3,0.9986666666666667,0.9986663687340057
0,18,4,0.998,0.9979979851363323
0,18,5,0.9973333333333333,0.997335213368302
0,18,6,0.9973333333333333,0.997335213368302
0,18,7,0.9946666666666667,0.9946649786615426
0,18,8,0.9913333333333333,0.991326090333474
0,18,9,0.99,0.9899916350000556
0,18,10,0.99,0.9899916350000556
0,18,11,0.99,0.9899916350000556
0,18,12,0.99,0.9899916350000556
0,18,13,0.99,0.9899916350000556
0,18,14,0.9906666666666667,0.9906565536535804
0,18,15,0.9906666666666667,0.9906565536535804
0,18,16,0.9906666666666667,0.9906565536535804
0,18,17,0.9906666666666667,0.9906565536535804
0,19,3,0.9986666666666667,0.9986666666666667
0,19,4,0.9973333333333333,0.9973336115938857
0,19,5,0.9973333333333333,0.9973336115938857
0,19,6,0.9973333333333333,0.9973336115938857
0,19,7,0.9986666666666667,0.9986666666666667
0,19,8,0.996,0.9960005308189278
0,19,9,0.996,0.9960005308189278
0,19,10,0.9926666666666667,0.9926522780294996
0,19,11,0.9926666666666667,0.9926522780294996
0,19,12,0.9926666666666667,0.9926522780294996
0,19,13,0.9926666666666667,0.9926522780294996
0,19,14,0.9926666666666667,0.9926522780294996
0,19,15,0.9926666666666667,0.9926522780294996
0,19,16,0.9873333333333333,0.9872853023220783
0,19,17,0.984,0.9839625410463088
0,19,18,0.984,0.9839625410463088
0,20,3,0.9986666666666667,0.9986667387501739
0,20,4,0.9986666666666667,0.9986667387501739
0,20,5,0.9986666666666667,0.9986667387501739
0,20,6,0.9986666666666667,0.9986667387501739
0,20,7,0.9986666666666667,0.9986667387501739
0,20,8,0.9986666666666667,0.9986667387501739
0,20,9,0.9986666666666667,0.9986667387501739
0,20,10,0.9986666666666667,0.9986667387501739
0,20,11,0.9953333333333333,0.995332034328928
0,20,12,0.9953333333333333,0.995332034328928
0,20,13,0.9953333333333333,0.995332034328928
0,20,14,0.9953333333333333,0.995332034328928
0,20,15,0.9953333333333333,0.995332034328928
0,20,16,0.9953333333333333,0.995332034328928
0,20,17,0.9953333333333333,0.995332034328928
0,20,18,0.9953333333333333,0.995332034328928
0,20,19,0.9953333333333333,0.995332034328928
0,21,3,1.0,1.0
0,21,4,1.0,1.0
0,21,5,1.0,1.0
0,21,6,1.0,1.0
0,21,7,1.0,1.0
0,21,8,1.0,1.0
0,21,9,1.0,1.0
0,21,10,0.9966666666666667,0.9966674932130566
0,21,11,0.9966666666666667,0.9966674932130566
0,21,12,0.9966666666666667,0.9966674932130566
0,21,13,0.9966666666666667,0.9966674932130566
0,21,14,0.9966666666666667,0.9966674932130566
0,21,15,0.9873333333333333,0.9873601907699936
0,21,16,0.9873333333333333,0.9873601907699936
0,21,17,0.9866666666666667,0.9866889309344827
0,21,18,0.9866666666666667,0.9866889309344827
0,21,19,0.9866666666666667,0.9866889309344827
0,21,20,0.9866666666666667,0.9866889309344827
0,22,3,0.9986666666666667,0.9986665929839125
0,22,4,0.9986666666666667,0.9986665929839125
0,22,5,0.9986666666666667,0.9986665929839125
0,22,6,0.9986666666666667,0.9986665929839125
0,22,7,0.9986666666666667,0.9986665929839125
0,22,8,0.9986666666666667,0.9986665929839125
0,22,9,0.998,0.998
0,22,10,0.998,0.998
0,22,11,0.998,0.998
0,22,12,0.998,0.998
0,22,13,0.994,0.9939981097961867
0,22,14,0.99,0.9900043654478002
0,22,15,0.99,0.9900043654478002
0,22,16,0.9846666666666667,0.9846767779017748
0,22,17,0.9846666666666667,0.9846767779017748
0,22,18,0.9846666666666667,0.9846767779017748
0,22,19,0.9846666666666667,0.9846767779017748
0,22,20,0.978,0.9780954344938738
0,22,21,0.978,0.9780954344938738
0,23,3,0.9833333333333333,0.9832921740695798
0,23,4,0.9833333333333333,0.9832921740695798
0,23,5,0.9833333333333333,0.9832921740695798
0,23,6,0.9833333333333333,0.9832921740695798
0,23,7,0.9833333333333333,0.9832921740695798
0,23,8,0.9833333333333333,0.9832921740695798
0,23,9,0.9833333333333333,0.9832921740695798
0,23,10,0.9833333333333333,0.9832921740695798
0,23,11,0.98,0.9799406475309426
0,23,12,0.9793333333333333,0.9792698452266113
0,23,13,0.9753333333333334,0.9752412549760671
0,23,14,0.9753333333333334,0.9752412549760671
0,23,15,0.9753333333333334,0.9752412549760671
0,23,16,0.9753333333333334,0.9752412549760671
0,23,17,0.9753333333333334,0.9752412549760671
0,23,18,0.9753333333333334,0.9752412549760671
0,23,19,0.9753333333333334,0.9752412549760671
0,23,20,0.9733333333333334,0.9732173629491211
0,23,21,0.9733333333333334,0.9732173629491211
0,23,22,0.9753333333333334,0.9752412549760671
0,24,3,0.9993333333333333,0.9993332237864632
0,24,4,0.9993333333333333,0.9993332237864632
0,24,5,0.9993333333333333,0.9993332237864632
0,24,6,0.9993333333333333,0.9993332237864632
0,24,7,0.998,0.9980009595574747
0,24,8,0.998,0.9980009595574747
0,24,9,0.9953333333333333,0.9953448806414061
0,24,10,0.992,0.9920089657949017
0,24,11,0.992,0.9920089657949017
0,24,12,0.992,0.9920089657949017
0,24,13,0.992,0.9920089657949017
0,24,14,0.99,0.9899997193876654
0,24,15,0.99,0.9899997193876654
0,24,16,0.99,0.9899997193876654
0,24,17,0.99,0.9899997193876654
0,24,18,0.99,0.9899997193876654
0,24,19,0.99,0.9899997193876654
0,24,20,0.99,0.9899997193876654
0,24,21,0.9846666666666667,0.9846660126867067
0,24,22,0.9846666666666667,0.9846660126867067
0,24,23,0.9846666666666667,0.9846660126867067
0,25,3,0.9993333333333333,0.999333368689828
0,25,4,0.998,0.9980003078794037
0,25,5,0.9986666666666667,0.9986668057969428
0,25,6,0.9986666666666667,0.9986668057969428
0,25,7,0.9966666666666667,0.9966674498044437
0,25,8,0.9966666666666667,0.9966674498044437
0,25,9,0.9966666666666667,0.9966674498044437
0,25,10,0.9966666666666667,0.9966674498044437
0,25,11,0.9966666666666667,0.9966674498044437
0,25,12,0.9966666666666667,0.9966674498044437
0,25,13,0.9946666666666667,0.9946612052743624
0,25,14,0.9946666666666667,0.9946612052743624
0,25,15,0.9946666666666667,0.9946612052743624
0,25,16,0.9946666666666667,0.9946612052743624
0,25,17,0.9926666666666667,0.9926541889763755
0,25,18,0.9926666666666667,0.9926541889763755
0,25,19,0.9926666666666667,0.9926541889763755
0,25,20,0.9926666666666667,0.9926541889763755
0,25,21,0.9926666666666667,0.9926541889763755
0,25,22,0.9926666666666667,0.9926541889763755
0,25,23,0.9926666666666667,0.9926541889763755
0,25,24,0.9926666666666667,0.9926541889763755
0,26,3,0.9993333333333333,0.9993332968284376
0,26,4,0.9993333333333333,0.9993332968284376
0,26,5,0.9993333333333333,0.9993332968284376
0,26,6,0.9993333333333333,0.9993332968284376
0,26,7,0.9993333333333333,0.9993332968284376
0,26,8,0.9993333333333333,0.9993332968284376
0,26,9,0.9993333333333333,0.9993332968284376
0,26,10,0.9993333333333333,0.9993332968284376
0,26,11,0.9993333333333333,0.9993332968284376
0,26,12,0.9993333333333333,0.9993332968284376
0,26,13,0.9993333333333333,0.9993332968284376
0,26,14,0.9993333333333333,0.9993332968284376
0,26,15,0.998,0.9979996611135501
0,26,16,0.998,0.9979996611135501
0,26,17,0.998,0.9979996611135501
0,26,18,0.998,0.9979996611135501
0,26,19,0.998,0.9979996611135501
0,26,20,0.998,0.9979996611135501
0,26,21,0.9893333333333333,0.9893217765769967
0,26,22,0.9893333333333333,0.9893217765769967
0,26,23,0.9846666666666667,0.984582660668936
0,26,24,0.9846666666666667,0.984582660668936
0,26,25,0.9846666666666667,0.984582660668936
0,27,3,0.9986666666666667,0.9986672800172292
0,27,4,0.9986666666666667,0.9986672800172292
0,27,5,0.9986666666666667,0.9986672800172292
0,27,6,0.9966666666666667,0.996668079924341
0,27,7,0.9966666666666667,0.996668079924341
0,27,8,0.9966666666666667,0.996668079924341
0,27,9,0.994,0.9940008642030729
0,27,10,0.994,0.9940008642030729
0,27,11,0.994,0.9940008642030729
0,27,12,0.994,0.9940005308189278
0,27,13,0.994,0.9940005308189278
0,27,14,0.994,0.9940005308189278
0,27,15,0.994,0.9940005308189278
0,27,16,0.994,0.9940005308189278
0,27,17,0.994,0.9940005308189278
0,27,18,0.994,0.9940005308189278
0,27,19,0.994,0.9940005308189278
0,27,20,0.994,0.9940005308189278
0,27,21,0.9926666666666667,0.9926622667076241
0,27,22,0.9926666666666667,0.9926622667076241
0,27,23,0.9926666666666667,0.9926622667076241
0,27,24,0.9926666666666667,0.9926622667076241
0,27,25,0.9926666666666667,0.9926622667076241
0,27,26,0.9926666666666667,0.9926622667076241
0,28,3,0.9986666666666667,0.9986662268444078
0,28,4,0.9986666666666667,0.9986662268444078
0,28,5,0.9986666666666667,0.9986662268444078
0,28,6,0.9986666666666667,0.9986662268444078
0,28,7,0.9986666666666667,0.9986662268444078
0,28,8,0.9986666666666667,0.9986662268444078
0,28,9,0.9986666666666667,0.9986662268444078
0,28,10,0.9986666666666667,0.9986662268444078
0,28,11,0.992,0.9920255176752922
0,28,12,0.992,0.9920255176752922
0,28,13,0.992,0.9920255176752922
0,28,14,0.992,0.9920255176752922
0,28,15,0.992,0.9920255176752922
0,28,16,0.992,0.9920255176752922
0,28,17,0.992,0.9920255176752922
0,28,18,0.992,0.9920255176752922
0,28,19,0.992,0.9920255176752922
0,28,20,0.992,0.9920255176752922
0,28,21,0.992,0.9920255176752922
0,28,22,0.992,0.9920255176752922
0,28,23,0.992,0.9920255176752922
0,28,24,0.992,0.9920255176752922
0,28,25,0.992,0.9920255176752922
0,28,26,0.992,0.9920255176752922
