n_estimaters,depth,accuracy,f1,num_topics
100,4,0.608,0.570831312,22
100,10,0.607333333,0.553920768,23
100,16,0.607333333,0.601777241,28
200,16,0.607333333,0.595002596,28
250,12,0.606666667,0.607609348,21
100,6,0.606666667,0.569496334,22
100,4,0.606666667,0.578485401,25
200,12,0.606666667,0.601811455,28
200,12,0.606,0.60633757,21
200,18,0.606,0.551139084,23
150,4,0.606,0.577541526,25
200,4,0.606,0.577541526,25
250,4,0.606,0.56639531,29
100,14,0.604666667,0.593893276,20
100,18,0.604666667,0.593764199,20
100,20,0.604666667,0.593764199,20
100,22,0.604666667,0.593764199,20
100,24,0.604666667,0.593764199,20
100,26,0.604666667,0.593764199,20
100,28,0.604666667,0.593764199,20
250,4,0.604666667,0.57973255,21
100,2,0.604,0.564885951,11
150,2,0.604,0.565040442,11
200,2,0.604,0.565040442,11
250,2,0.604,0.565040442,11
100,6,0.604,0.586404488,26
150,6,0.604,0.586404488,26
250,6,0.604,0.587959086,26
100,6,0.604,0.594856631,27
150,6,0.604,0.594856631,27
200,6,0.604,0.584826346,28
150,16,0.604,0.591531588,28
150,18,0.604,0.591531588,28
150,20,0.604,0.591531588,28
150,22,0.604,0.591531588,28
150,24,0.604,0.591531588,28
150,26,0.604,0.591531588,28
150,28,0.604,0.591531588,28
150,12,0.602666667,0.602936844,21
150,4,0.602666667,0.565631013,26
150,12,0.602666667,0.5959324,28
250,6,0.602,0.581345056,14
250,10,0.602,0.59159702,20
200,12,0.602,0.586368462,22
200,14,0.602,0.578475082,22
200,18,0.602,0.578475082,22
200,20,0.602,0.578475082,22
200,22,0.602,0.578475082,22
200,24,0.602,0.578475082,22
200,26,0.602,0.578475082,22
200,28,0.602,0.578475082,22
100,4,0.600666667,0.562637328,29
150,4,0.600666667,0.562637328,29
100,4,0.6,0.57529077,21
200,8,0.6,0.596554108,21
250,8,0.6,0.596554108,21
150,10,0.6,0.600672917,21
250,8,0.6,0.591612212,26
100,4,0.598666667,0.558028731,14
150,2,0.598666667,0.560529225,24
200,2,0.598666667,0.560529225,24
200,4,0.598,0.561941513,22
250,4,0.598,0.561941513,22
250,4,0.598,0.570517041,25
250,2,0.597333333,0.579380497,15
150,4,0.597333333,0.559712463,27
200,4,0.597333333,0.559712463,27
150,2,0.596666667,0.559222341,21
200,2,0.596666667,0.559222341,21
250,2,0.596666667,0.559222341,21
150,6,0.596,0.560012152,22
200,6,0.596,0.560012152,22
100,10,0.596,0.593557576,27
200,10,0.594666667,0.595262343,21
250,10,0.594666667,0.595684478,21
250,12,0.594,0.577674425,20
250,14,0.594,0.560436514,22
100,16,0.594,0.594775139,26
250,2,0.594,0.556211697,27
200,12,0.593333333,0.577944314,20
100,18,0.593333333,0.587760767,28
100,20,0.593333333,0.587760767,28
100,22,0.593333333,0.587760767,28
100,24,0.593333333,0.587760767,28
100,26,0.593333333,0.587760767,28
100,28,0.593333333,0.587760767,28
200,4,0.592666667,0.558049208,17
100,12,0.592666667,0.592471007,21
150,2,0.592,0.574045877,15
100,14,0.591333333,0.574862149,25
100,4,0.590666667,0.562153649,20
100,18,0.59,0.584680538,18
100,20,0.59,0.584680538,18
100,22,0.59,0.584680538,18
100,24,0.59,0.584680538,18
100,26,0.59,0.584680538,18
100,28,0.59,0.584680538,18
250,6,0.59,0.554808752,22
100,14,0.59,0.568142861,22
100,6,0.59,0.57129244,28
150,4,0.589333333,0.555509967,13
100,10,0.589333333,0.570430848,17
100,14,0.589333333,0.588970148,21
100,16,0.589333333,0.588987591,21
100,18,0.589333333,0.588987591,21
100,20,0.589333333,0.588987591,21
100,22,0.589333333,0.588987591,21
100,24,0.589333333,0.588987591,21
100,26,0.589333333,0.588987591,21
100,28,0.589333333,0.588987591,21
100,20,0.588666667,0.57866603,25
100,22,0.588666667,0.57866603,25
100,24,0.588666667,0.57866603,25
100,26,0.588666667,0.57866603,25
100,28,0.588666667,0.57866603,25
150,14,0.588666667,0.590472674,26
250,4,0.588,0.564664558,16
100,12,0.588,0.564487732,22
250,16,0.588,0.564487732,22
250,18,0.588,0.564487732,22
250,20,0.588,0.564487732,22
250,22,0.588,0.564487732,22
250,24,0.588,0.564487732,22
250,26,0.588,0.564487732,22
250,28,0.588,0.564487732,22
150,6,0.588,0.569550069,28
200,14,0.587333333,0.586577273,26
150,4,0.586666667,0.509112419,6
100,4,0.586666667,0.553167859,13
100,16,0.586666667,0.577240442,18
100,12,0.586666667,0.581375473,26
150,10,0.586666667,0.580386736,28
250,12,0.586,0.56951761,18
100,10,0.586,0.582416137,28
150,2,0.584666667,0.562496669,16
100,6,0.584666667,0.553186003,17
250,10,0.584666667,0.579319781,28
250,18,0.584,0.567720171,18
250,20,0.584,0.567720171,18
250,22,0.584,0.567720171,18
250,24,0.584,0.567720171,18
250,26,0.584,0.567720171,18
250,28,0.584,0.567720171,18
200,2,0.584,0.548269797,19
250,2,0.584,0.548143586,19
150,14,0.583333333,0.560607385,12
150,16,0.583333333,0.560607385,12
150,18,0.583333333,0.560607385,12
150,20,0.583333333,0.560607385,12
150,22,0.583333333,0.560607385,12
150,24,0.583333333,0.560607385,12
150,26,0.583333333,0.560607385,12
150,28,0.583333333,0.560607385,12
150,14,0.583333333,0.58375748,21
150,10,0.582666667,0.558140348,11
200,10,0.582666667,0.546485691,12
100,12,0.582666667,0.565249342,17
150,12,0.582666667,0.565570929,17
200,4,0.582,0.541668101,14
250,4,0.582,0.543300004,14
100,2,0.582,0.546336459,26
150,2,0.582,0.546336459,26
200,2,0.582,0.546336459,26
250,2,0.582,0.546336459,26
100,2,0.581333333,0.54577203,14
150,2,0.581333333,0.54577203,14
200,2,0.581333333,0.54577203,14
250,2,0.581333333,0.54577203,14
100,8,0.581333333,0.559603436,17
250,18,0.581333333,0.581609634,21
250,20,0.581333333,0.581609634,21
250,22,0.581333333,0.581609634,21
250,24,0.581333333,0.581609634,21
250,26,0.581333333,0.581609634,21
250,28,0.581333333,0.581609634,21
100,2,0.581333333,0.54577203,22
200,10,0.581333333,0.576434125,26
250,10,0.581333333,0.576434125,26
150,4,0.580666667,0.547288692,17
100,2,0.580666667,0.544204912,20
150,2,0.580666667,0.544204912,20
200,2,0.580666667,0.544204912,20
250,2,0.580666667,0.544204912,20
200,2,0.580666667,0.529095682,23
250,2,0.580666667,0.529095682,23
100,2,0.580666667,0.544264281,24
250,2,0.580666667,0.544233401,24
150,2,0.580666667,0.544048076,25
200,12,0.580666667,0.577258996,26
200,2,0.580666667,0.544052687,28
250,2,0.580666667,0.544052687,28
100,2,0.580666667,0.544052687,29
150,2,0.580666667,0.544052687,29
200,2,0.580666667,0.544052687,29
250,2,0.580666667,0.544052687,29
150,2,0.58,0.566680589,5
250,14,0.58,0.557594716,16
250,6,0.58,0.549682273,17
150,10,0.58,0.551141364,18
250,6,0.58,0.554897387,20
100,8,0.58,0.566583652,26
150,8,0.58,0.567642085,26
100,2,0.58,0.543503683,28
150,2,0.58,0.543503683,28
200,10,0.579333333,0.556563084,17
100,2,0.579333333,0.54424084,21
250,14,0.578666667,0.578825599,21
200,10,0.578666667,0.559157861,22
200,2,0.578666667,0.54221461,25
250,2,0.578666667,0.54221461,25
150,8,0.577333333,0.551948902,20
