,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
10,The plan was to use one large aid station with American medics running it. How is this way better?,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.9198712110519409,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617,0.003205152228474617
11,It won't take long.,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.7596133947372437,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873,0.009615463204681873
12,Why does it have to be in private? We don't have a ton of time. ,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.7596147656440735,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546,0.009615409187972546
13,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.8626368045806885,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674,0.005494529847055674
14,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.9125871062278748,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877,0.0034965176600962877
15,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.9465810060501099,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435,0.0021367608569562435
16,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.003846170147880912,0.9038457870483398,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912,0.003846170147880912
17,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.8798072934150696,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859,0.004807708784937859
18,"No, he is not here. I am taking his place.",0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.6794859766960144,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588,0.012820560485124588
19,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.8397424221038818,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659,0.006410303525626659
